txn_date,description,amount,debit,credit,balance,direction,flags,source_file,page,line,raw_line
2025-04-02,SALARY CREDIT NORTHWIND LTD,2750.0,,,3020.11,,sign_unknown,sample_plain_no_header.pdf,1,3,"02 Apr 2025 SALARY CREDIT NORTHWIND LTD 2,750.00 3,020.11"
2025-04-05,UTILITIES DD SEVERN TRENT,-64.2,,,2955.91,debit,,sample_plain_no_header.pdf,1,4,"05 Apr 2025 UTILITIES DD SEVERN TRENT 64.20- 2,955.91"
2025-04-08,GROCERIES SAINSBURYS 4412,-113.75,,,2842.16,debit,,sample_plain_no_header.pdf,1,5,"08 Apr 2025 GROCERIES SAINSBURYS 4412 113.75- 2,842.16"
2025-04-12,ONLINE PURCHASE ARGOS,-249.99,,,2592.17,debit,,sample_plain_no_header.pdf,1,6,"12 Apr 2025 ONLINE PURCHASE ARGOS 249.99- 2,592.17"
2025-04-15,CASH WITHDRAWAL,-80.0,,,2512.17,debit,,sample_plain_no_header.pdf,1,7,"15 Apr 2025 CASH WITHDRAWAL 80.00- 2,512.17"
2025-04-19,REFUND ARGOS,249.99,,,2762.16,credit,,sample_plain_no_header.pdf,1,8,"19 Apr 2025 REFUND ARGOS 249.99 2,762.16"
2025-04-22,MOBILE BILL VODAFONE,-31.5,,,2730.66,debit,,sample_plain_no_header.pdf,1,9,"22 Apr 2025 MOBILE BILL VODAFONE 31.50- 2,730.66"
2025-04-30,BANK CHARGES,-3.0,,,2727.66,debit,,sample_plain_no_header.pdf,1,10,"30 Apr 2025 BANK CHARGES 3.00- 2,727.66"
2025-03-03,CARD PAYMENT TO TESCO STORES 3421,-42.6,42.6,,2407.4,debit,,sample_uk_debit_credit.pdf,1,8,"03/03/2025 CARD PAYMENT TO TESCO STORES 3421 42.60 2,407.40"
2025-03-04,DIRECT DEBIT BRITISH GAS,-128.15,128.15,,2279.25,debit,,sample_uk_debit_credit.pdf,1,9,"04/03/2025 DIRECT DEBIT BRITISH GAS 128.15 2,279.25"
2025-03-05,FASTER PAYMENT FROM J HOBBS REF INVOICE 2201 CONSULTING WORK FEBRUARY,1850.0,,1850.0,4129.25,credit,,sample_uk_debit_credit.pdf,1,10,"05/03/2025 FASTER PAYMENT FROM J HOBBS REF INVOICE 2201 1,850.00 4,129.25 ↵ CONSULTING WORK FEBRUARY"
2025-03-07,CARD PAYMENT TO AMAZON.CO.UK,-1234.56,1234.56,,2894.69,debit,,sample_uk_debit_credit.pdf,1,12,"07/03/2025 CARD PAYMENT TO AMAZON.CO.UK 1,234.56 2,894.69"
2025-03-11,STANDING ORDER RENT,-950.0,950.0,,1944.69,debit,,sample_uk_debit_credit.pdf,1,13,"11/03/2025 STANDING ORDER RENT 950.00 1,944.69"
2025-03-14,CONTACTLESS PRET A MANGER,-4.85,4.85,,1939.84,debit,,sample_uk_debit_credit.pdf,1,14,"14/03/2025 CONTACTLESS PRET A MANGER 4.85 1,939.84"
2025-03-18,TRANSFER FROM SAVINGS,500.0,,500.0,2439.84,credit,,sample_uk_debit_credit.pdf,1,15,"18/03/2025 TRANSFER FROM SAVINGS 500.00 2,439.84"
2025-03-21,DIRECT DEBIT COUNCIL TAX,-187.0,187.0,,2252.84,debit,,sample_uk_debit_credit.pdf,2,7,"21/03/2025 DIRECT DEBIT COUNCIL TAX 187.00 2,252.84"
